Date,Open,High,Low,Close,Adj Close,Volume
2010-04-30,13.455400,13.523700,13.350600,13.523700,9.749698,100144
2010-05-03,13.478100,13.505500,13.209500,13.236800,9.551335,1265
2010-05-04,13.204900,13.359700,12.918100,12.931700,9.331186,2253909
2010-05-05,12.754100,13.159400,12.704100,13.091100,9.446198,275836
2010-05-06,12.977300,13.177600,12.298800,12.754100,9.203038,356435
2010-05-07,13.045600,13.045600,12.476400,12.795100,9.232615,179425
2010-05-10,13.054700,13.282300,13.054700,13.250500,9.561215,217858
2010-05-11,13.118400,13.296000,13.113900,13.159400,9.495485,452627
2010-05-12,13.177600,13.250500,13.036500,13.200400,9.525065,292308
2010-05-13,12.990900,13.150300,12.886200,12.886200,9.298351,46119
2010-05-14,12.827000,12.827000,12.572000,12.749600,9.199779,121227
2010-05-17,12.726800,12.836100,12.430800,12.740500,9.193221,181841
2010-05-18,12.908900,12.908900,12.358000,12.649400,9.127479,203363
2010-05-19,12.294200,12.294200,11.793400,11.930000,8.608381,1143096
2010-05-20,11.788800,12.043800,11.634000,11.634000,8.394793,626122
2010-05-21,11.838900,12.244200,11.711400,12.021000,8.674047,225105
2010-05-24,12.071100,12.071100,11.807000,12.066600,8.706950,283084
2010-05-25,11.838900,11.838900,11.228700,11.702300,8.444080,549696
2010-05-26,11.838900,12.039300,11.656800,11.930000,8.608381,198093
2010-05-27,12.121200,12.285100,12.121200,12.189500,8.795630,229278
2010-05-28,12.048400,12.285100,11.993700,12.285100,8.864613,62371
2010-05-31,12.289700,12.517400,12.134900,12.517400,9.032232,260903
2010-06-01,12.289700,12.430800,12.180400,12.403500,8.958637,125181
2010-06-02,12.408100,12.608400,12.280600,12.471800,9.007965,288135
2010-06-04,12.471800,12.471800,12.180400,12.294200,8.879693,236086
2010-06-07,12.266900,12.266900,11.984600,11.984600,8.656076,88724
2010-06-08,12.107500,12.339800,11.838900,12.248700,8.846833,210391
2010-06-09,12.248700,12.385300,12.066600,12.066600,8.715301,229278
2010-06-10,12.157600,12.385300,12.157600,12.276000,8.866549,156585
2010-06-11,12.203200,12.567400,12.103000,12.508300,9.034328,501161
2010-06-14,12.603900,12.608400,12.412600,12.412600,8.965210,135942
2010-06-15,12.399000,12.685800,12.339800,12.635700,9.126347,88505
2010-06-16,12.521900,12.726800,12.453600,12.717700,9.185573,379934
2010-06-17,12.726800,12.726800,12.430800,12.599300,9.100054,304826
2010-06-18,12.613000,12.658500,12.476400,12.613000,9.109951,250
